geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,elv_rel,elv,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,ls_land_cover,cl_land_cover,terrain_classification,anisotropy,downhill_fraction,dom_angle_deg,dom_dir
63177,30.830137263948963,-105.07075768138739,125.53,8.829999923706055,0.800000011920929,0.1,0.0,0.0,-0.2,0.02,0.0,144.59,1272.15,300.0,300.0,300.0,300.0,300.0,300.0,-0.7260000109672546,0.04399999976158142,0.6320000290870667,0.102,0.934,0.178,UN,,DSS,0.2457942581035999,0.625,14.580420397202637,E
63708,30.83004743242055,-105.07075768138739,125.53,8.829999923706055,0.800000011920929,0.1,0.0,0.0,-0.2,0.02,0.0,143.95,1271.51,300.0,300.0,300.0,300.0,300.0,300.0,-0.7260000109672546,0.04399999976158142,0.6320000290870667,0.102,0.934,0.178,UN,,,0.3606903842723625,0.625,16.85839876773986,E
64239,30.829957600892136,-105.07075768138739,125.55,8.649999618530273,0.7900000214576721,0.1,0.0,0.0,-0.17,0.0,0.0,143.29,1270.85,300.0,300.0,300.0,300.0,300.0,300.0,-0.4650000035762787,-0.33899998664855957,-0.21699999272823334,0.353,0.511,0.68,WS,,DSS,0.31714301273811196,0.625,17.370753330533773,E
64770,30.829867769363723,-105.07075768138739,125.55,8.649999618530273,0.7900000214576721,0.1,0.0,0.0,-0.17,0.0,0.0,142.73,1270.29,300.0,300.0,300.0,300.0,300.0,300.0,-0.4650000035762787,-0.33899998664855957,-0.21699999272823334,0.353,0.511,0.68,WS,,DSS,0.26666791965856407,0.625,11.309932474018746,E
65301,30.82977793783531,-105.07075768138739,125.55,8.649999618530273,0.7900000214576721,0.1,0.0,0.0,-0.17,0.0,0.0,142.25,1269.81,300.0,300.0,300.0,300.0,300.0,300.0,-0.4650000035762787,-0.33899998664855957,-0.21699999272823334,0.353,0.511,0.68,WS,,DSS,0.3041230038167709,0.625,9.963804189906725,E
65832,30.829688106306897,-105.07075768138739,125.43,8.619999885559082,0.7799999713897705,0.13,0.01,0.0,-0.1,0.0,0.0,141.81,1269.37,300.0,300.0,300.0,300.0,300.0,300.0,-0.42100000381469727,-0.7149999737739563,0.8830000162124634,0.406,0.11,0.02,BN,,DSS,0.309204437126188,0.625,13.920960364923495,E
66363,30.829598274778483,-105.07075768138739,125.43,8.619999885559082,0.7799999713897705,0.13,0.01,0.0,-0.1,0.0,0.0,141.41,1268.97,300.0,300.0,300.0,300.0,300.0,300.0,-0.42100000381469727,-0.7149999737739563,0.8830000162124634,0.406,0.11,0.02,BN,,DSS,0.16970421614193038,0.625,-7.224315694050618,E
66894,30.82950844325007,-105.07075768138739,125.43,8.619999885559082,0.7799999713897705,0.13,0.01,0.0,-0.1,0.0,0.0,141.07,1268.63,300.0,300.0,300.0,300.0,300.0,300.0,-0.42100000381469727,-0.7149999737739563,0.8830000162124634,0.406,0.11,0.02,BN,,DSS,0.1721655063172262,0.5,-66.54097591855204,SE
67425,30.829418611721657,-105.07075768138739,125.03,8.640000343322754,0.7900000214576721,0.13,0.01,0.0,-0.15,0.01,0.0,140.81,1268.37,300.0,300.0,300.0,300.0,300.0,300.0,-0.3499999940395355,-0.5019999742507935,0.9100000262260437,0.497,0.31,0.012,WS,,,0.1487446728899148,0.375,-81.52885536698545,S
67956,30.829328780193244,-105.07075768138739,125.03,8.640000343322754,0.7900000214576721,0.13,0.01,0.0,-0.15,0.01,0.0,140.68,1268.24,300.0,300.0,300.0,300.0,300.0,300.0,-0.3499999940395355,-0.5019999742507935,0.9100000262260437,0.497,0.31,0.012,WS,,,0.03176216946504957,0.375,35.537677791987676,NE
68487,30.82923894866483,-105.07075768138739,125.03,8.640000343322754,0.7900000214576721,0.13,0.01,0.0,-0.15,0.01,0.0,140.73,1268.29,300.0,300.0,300.0,300.0,300.0,300.0,-0.3499999940395355,-0.5019999742507935,0.9100000262260437,0.497,0.31,0.012,WS,,,0.06655164293346662,0.375,-34.69515353124704,SE
69018,30.829149117136417,-105.07075768138739,124.8,8.520000457763672,0.7699999809265137,0.1,0.01,0.0,-0.17,0.01,0.0,140.92,1268.48,300.0,300.0,300.0,300.0,300.0,300.0,-0.2770000100135803,-0.2770000100135803,1.0,0.595,0.595,0.0,WS,,,0.10302568332975069,0.375,-15.255118703055256,E
